Reference #,Online Photos Aquired,Year,Make,Model,Trim,Type,TagPosition,TailLightShape,TailLightPosition,TagMouldingShape,WhiteLocation,ToRoof,BreakLight,SeparateReflectors,ReflectorOrientation,ExhaustCount,ExhaustShape,ExhaustPosition,MakeBadgeLocation,ModelBadgeLocation,TrimBadgeLocation,Bumper,GasTank,Mainfeature,Straight,bumbertobumper,FogLights,Grill
V_20,,2016,Dodge,Challenger,SXT Plus,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,Interrior Upper,Yes,Horizontal,2,Squared,Both,Middle,None,N/A,No Seam,Driver Rear,Below Door Handle,Other,Yes,No,Horizontal
V_21,,2016,Dodge,Challenger,SXT,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,Interrior Upper,Yes,Horizontal,2,Squared,Both,Middle,None,N/A,No Seam,Driver Rear,Below Door Handle,Other,Yes,Yes,Horizontal
V_22,,2016,Dodge,Challenger,SRT 392,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,Interrior Upper,Yes,Horizontal,2,Squared,Both,Middle,None,Passenger Side,No Seam,Driver Rear,Below Door Handle,Other,Yes,Yes,Horizontal
V_23,,2016,Dodge,Challenger,392 Hemi Scat Pack Shaker,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,Interrior Upper,No,Horizontal,2,Squared,Both,Middle,None,Passenger Side,No Seam,Driver Rear,Below Door Handle,Other,Yes,Yes,Other
V_24,,2016,Dodge,Challenger,RT Scat Pack,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,,Yes,Horizontal,2,Squared,Both,Middle,None,N/A,No Seam,Driver Rear,Below Door Handle,Other,Yes,Yes,Other
V_25,,2016,Dodge,Challenger,RT,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,Interrior Upper,Yes,Horizontal,4,Round,Both,None,None,N/A,No Seam,Driver Rear,Below Door Handle,Other,Yes,Yes,Other
V_26,,2022,Dodge,Charger,SXT,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Squared,Both,Middle,Driver Side,N/A,No Seam,Driver Rear,Other,Other,No,No,Other
V_27,,2022,Dodge,Charger,GT,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Round,Both,Middle,Driver Side,Passenger Side,No Seam,Driver Rear,Other,Other,No,No,Other
V_28,,2021,Dodge,Charger,RT,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Round,Both,Middle,Driver Side,N/A,No Seam,Driver Rear,Other,Other,No,Yes,Other
V_29,,2021,Dodge,Charger,Scat Pack,Sedan,Bumper,Full Length,Full Length,Rectangle,Top,No,,No,N/A,2,Round,Both,Middle,Driver Side,Passenger Side,No Seam,Driver Rear,Other,Other,No,Yes,Other
V_30,,2020,Dodge,Charger,SXT,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Squared,Both,None,Driver Side,N/A,No Seam,Driver Rear,Other,Other,No,No,Other
V_31,,2019,Dodge,Charger,GT,Sedan,Bumper,Full Length,Full Length,,Encapsulated Center,No,,No,N/A,2,Round,Both,Middle,Driver Side,Passenger Side,No Seam,Driver Rear,Other,Other,No,Yes,Other
V_32,,2019,Dodge,Charger,RT Scat Pack,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Round,Both,Middle,Driver Side,Passenger Side,No Seam,Driver Rear,Other,Other,No,Yes,Pattern
V_33,,2018,Dodge,Charger,SXT Plus,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Squared,Both,Middle,Driver Side,Passenger Side,No Seam,Driver Rear,Other,Other,No,Yes,Other
V_34,,2017,Dodge,Charger,SXT,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Squared,Both,Middle,Driver Side,N/A,No Seam,Driver Rear,Other,Other,No,Yes,Pattern
V_35,,2017,Dodge,Charger,RT Scat Pack,Sedan,Bumper,Full Length,Full Length,Trapezoid,Encapsulated Center,No,,No,N/A,2,Round,Both,None,None,N/A,No Seam,Driver Rear,Other,Other,No,Yes,Pattern
V_36,,2016,Dodge,Charger,RT Scat Pack,Sedan,Bumper,Full Length,Full Length,Trapezoid,Encapsulated Center,No,,No,N/A,2,Round,Both,None,Driver Side,N/A,No Seam,Driver Rear,Other,Other,No,Yes,Pattern
V_37,,2015,Dodge,Charger,SXT,Sedan,Bumper,Full Length,Full Length,Rounded Trapezoid,Encapsulated Center,No,,No,N/A,2,Squared,Both,Middle,Driver Side,Passenger Side,No Seam,Driver Rear,Other,Other,No,Yes,Other
V_38,,2014,Dodge,Charger,SE,Sedan,Bumper,Full Length,Full Length,,Encapsulated Center,No,Trunk,No,N/A,2,Squared,Both,Middle,Driver Side,N/A,No Seam,Driver Front,Other,Other,No,No,Other
V_39,,2016,Mercedes-Benz,CLS-Class,400,Sedan,Lower Trunk,Oval,Pillar Only,Rounded Trapezoid,Encapsulated Center,No,Other,No,N/A,2,Squared,Both,Middle,Driver Side,Passenger Side,No Seam,Passenger Rear,Other,Curve Down,Yes,No,Pattern
V_40,,2022,MAZDA,CX-30,Turbo Premium Plus,SUV,Lower Trunk,One Point Inward,overlap,Trapezoid,Top inside,No,,Yes,Horizontal,2,Round,Both,Middle,Driver Side,Passenger Side,Full Seam,Driver Rear,,,,No,Other
V_41,,2020,MAZDA,CX-30,Select,SUV,Lower Trunk,One Point Inward,overlap,Trapezoid,Top inside,No,,Yes,Horizontal,2,Round,Both,Middle,Driver Side,Passenger Side,Full Seam,Driver Rear,,,,No,Other
V_42,,2020,Dodge,Durango,GT,SUV,Upper Trunk,Full Length,Full Length,Rounded Trapezoid,Top,No,Exterior Upper,Yes,N/A,2,Round,Both,Middle,Driver Side,Passenger Side,No Seam,Driver Rear,Above Door Handle,,,Yes,Pattern
V_43,,2022,Mitsubishi,Eclipse Cross,SE,SUV,Lower Trunk,One Point Inward,overlap,Upside Down Trapezoid,Bottom inside,Yes,Exterior Upper,Yes,Other,None Visible,Not Visible,Not Visible,Middle,Middle,Passenger Side,Full Seam,Driver Rear,Level WQ,Straight,No,No,Horizontal
V_44,,2019,Mitsubishi,Eclipse Cross,ES,SUV,Lower Trunk,Other,Full Length,Upside Down Trapezoid,,Yes,,Yes,Other,None Visible,Not Visible,Not Visible,Other,Passenger Side,Passenger Side,Full Seam,Driver Rear,Level WQ,Straight,No,Yes,Horizontal
V_45,,2018,Mitsubishi,Eclipse Cross,LE,SUV,Lower Trunk,Other,Full Length,Upside Down Trapezoid,,Yes,Other,Yes,Other,None Visible,Not Visible,Not Visible,Other,Passenger Side,Passenger Side,Full Seam,Driver Rear,Level WQ,Straight,No,Yes,Horizontal
V_46,,2021,BMW,i3,Not Specified,SUV,Bumper,One Point Inward,Trunk Only,Rectangle,Bottom middle,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Passenger Side,N/A,,Passenger Rear,,,,No,
V_47,,2019,BMW,i3,Range Extender,SUV,Bumper,One Point Inward,Trunk Only,Rectangle,Bottom middle,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Passenger Side,N/A,,Passenger Rear,,,,No,
V_48,,2018,BMW,i3,S Range Extender,SUV,Bumper,One Point Inward,Trunk Only,Rectangle,Bottom middle,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Passenger Side,Driver Side,,Passenger Rear,,,,Maybe,
V_49,,2017,BMW,i3,Mega World Range Extender,SUV,Bumper,One Point Inward,Trunk Only,Rectangle,Bottom middle,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Passenger Side,Driver Side,,Passenger Rear,,,,Yes,
V_50,,2016,BMW,i3,Mega World Range Extender,SUV,Bumper,One Point Inward,Trunk Only,Rectangle,Bottom middle,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Passenger Side,Driver Side,,Passenger Rear,,,,Yes,
V_51,,2015,BMW,i3,Mega World Range Extender,SUV,Bumper,One Point Inward,Trunk Only,Rectangle,Bottom middle,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Passenger Side,Driver Side,,Passenger Rear,,,,Yes,
V_52,,2014,BMW,i3,Mega World Range Extender,SUV,Bumper,One Point Inward,Trunk Only,Rectangle,Bottom middle,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Passenger Side,Driver Side,,Passenger Rear,,,,Yes,
V_53,,2023,Mitsubishi,Mirage,G4 Black Edition,Sedan,Lower Trunk,Oval,Pillar Only,Trapezoid,Top inside,No,Interrior Lower,Yes,Vertical,None Visible,Not Visible,Not Visible,Middle,Driver Side,D/P,No Seam,Driver Rear,,,,Yes,Horizontal
V_54,,2022,Mitsubishi,Mirage,G4 ES,Sedan,Lower Trunk,Oval,Pillar Only,Upside Down Trapezoid,Center Open,No,Interrior Lower,Yes,Vertical,None Visible,Not Visible,Not Visible,Middle,Driver Side,Driver Side,No Seam,Driver Rear,,,,No,Horizontal
V_55,,2021,Mitsubishi,Mirage,G4 SE,Sedan,Lower Trunk,Oval,Pillar Only,Upside Down Trapezoid,Center Open,No,Interrior Lower,Yes,Vertical,1,Round,Passenger Side,Middle,Driver Side,Driver Side,No Seam,Driver Rear,,,,Yes,Horizontal
V_56,,2018,Mitsubishi,Mirage,G4 ES,Sedan,Lower Trunk,Oval,Pillar Only,Upside Down Trapezoid,Center Open,No,Interrior Lower,No,N/A,1,Round,Passenger Side Pointed Down,Middle,Passenger Side,Passenger Side,No Seam,Passenger Rear,Above Door Handle,Straight,Yes,No,Horizontal
V_57,,2017,Mitsubishi,Mirage,G4 ES,Sedan,Lower Trunk,Oval,Pillar Only,Upside Down Trapezoid,Center Open,No,Interrior Lower,No,N/A,1,Round,Passenger Side,Other,Passenger Side,Passenger Side,No Seam,Driver Rear,Above Door Handle,Curve Down,Yes,No,Horizontal
V_58,Yes,2022,Tesla,Model 3,Performance,Sedan,Lower Trunk,One Point Inward,overlap,Top Only,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,Other,Below Door Handle,Straight,No,Yes,N/A
V_59,Yes,2022,Tesla,Model 3,Long Range,Sedan,Lower Trunk,One Point Inward,overlap,Top Only,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,Other,Below Door Handle,Straight,No,Yes,N/A
V_60,Yes,2021,Tesla,Model 3,Performance,Sedan,Lower Trunk,One Point Inward,overlap,Top Only,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,Other,Below Door Handle,Straight,No,Yes,N/A
V_61,Yes,2021,Tesla,Model 3,Standard Range Plus,Sedan,Lower Trunk,One Point Inward,overlap,Top Only,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,Other,Below Door Handle,Straight,No,Yes,N/A
V_62,Yes,2021,Tesla,Model 3,Long Range,Sedan,Lower Trunk,One Point Inward,overlap,Top Only,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,Other,Below Door Handle,Straight,No,Yes,N/A
V_63,Yes,2020,Tesla,Model 3,Standard Range Plus,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Bottom middle,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,N/A,No Seam,,,,,,
V_64,Yes,2020,Tesla,Model 3,Standard Range,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Bottom middle,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,N/A,No Seam,,,,,,
V_65,Yes,2020,Tesla,Model 3,Performance,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Bottom middle,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,,,,,,
V_66,Yes,2020,Tesla,Model 3,Long Range,Sedan,Lower Trunk,One Point Inward,overlap,Top Only,Bottom middle,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,,,,,,
V_67,Yes,2021,Tesla,Model S,Plaid,Sedan,Middle Trunk,Two Points Inward,overlap,Rounded Trapezoid,Bottom middle,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,N/A,No Seam,,,,,Yes,N/A
V_68,Yes,2021,Tesla,Model S,Long Range plus,Sedan,Middle Trunk,Two Points Inward,overlap,Rounded Trapezoid,Middle Inside,No,Other,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,,,,,Yes,N/A
V_69,Yes,2019,Tesla,Model S,Performance,Sedan,Middle Trunk,Two Points Inward,overlap,Rounded Trapezoid,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,Passenger Side,No Seam,Other,Other,Other,,Yes,N/A
V_70,Yes,2018,Tesla,Model S,P100D,Sedan,Middle Trunk,Two Points Inward,overlap,Rounded Trapezoid,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,Passenger Side,No Seam,Other,Other,Other,,Yes,N/A
V_71,Yes,2018,Tesla,Model S,75D,Sedan,Lower Trunk,Two Points Inward,overlap,Rounded Trapezoid,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,Passenger Side,No Seam,Other,Other,Other,,Yes,N/A
V_72,Yes,2018,Tesla,Model S,100D,Sedan,Lower Trunk,Two Points Inward,overlap,Rounded Trapezoid,Bottom middle,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,Passenger Side,No Seam,Other,Other,Other,,Yes,N/A
V_73,Yes,2023,Tesla,Model Y,Performance,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Bottom inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,Partial Seam,Other,,,,Yes,N/A
V_74,Yes,2023,Tesla,,Long Range,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Bottom inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,Partial Seam,Other,,,,Yes,N/A
V_75,Yes,2022,Tesla,Model Y,Performance,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Bottom inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,Partial Seam,Other,,,,Yes,N/A
V_76,Yes,2022,Tesla,Model Y,Long Range,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Bottom inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,Partial Seam,Other,,,,Yes,N/A
V_77,Yes,2021,Tesla,Model Y,Performance,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Bottom inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,Partial Seam,Other,,,,Yes,N/A
V_78,Yes,2021,Tesla,Model Y,Long Range,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Bottom inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,Partial Seam,Other,,,,Yes,N/A
V_79,Yes,2020,Tesla,Model Y,Performance,Sedan,Middle Trunk,One Point Inward,overlap,Hexagon,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,Partial Seam,,,,,Yes,N/A
V_80,Yes,2020,Tesla,Model Y,Long Range,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Middle Inside,No,,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,None,Passenger Side,No Seam,,,,,Yes,N/A
V_81,,2020,Porsche,Panamera,4,Sedan,Bumper,One Point Inward,overlap,Open Bottom Trapezoid,,No,,,,,,,,,,,,,,,,
V_82,,2019,Porsche,Panamera,Not Specified,Sedan,Bumper,One Point Inward,overlap,Open Bottom Trapezoid,,No,Interrior Upper,Yes,Horizontal,2,Squared,Both,,Middle,Middle,,Passenger Rear,In Line with Door Handle,Straight,No,Yes,Horizontal
V_83,,2019,Porsche,Panamera,GTS,Sedan,Bumper,One Point Inward,overlap,Open Bottom Trapezoid,,No,Interrior Upper,Yes,Horizontal,4,Round,Both,Middle,Middle,Middle,,Passenger Rear,In Line with Door Handle,Straight,No,Yes,Horizontal
V_84,,2019,Porsche,Panamera,4,Sedan,Bumper,One Point Inward,overlap,Open Bottom Trapezoid,,No,Interrior Upper,Yes,Horizontal,2,Squared,Both,Middle,Middle,Middle,,Passenger Rear,In Line with Door Handle,Straight,No,Yes,Horizontal
V_85,,2016,Porsche,Panamera,4S,Sedan,Bumper,Oval,Pillar Only,Open Bottom Trapezoid,,No,Interrior Upper,Yes,Horizontal,4,Round,Both,Middle,Middle,Middle,,Passenger Rear,In Line with Door Handle,Straight,No,Yes,Horizontal
V_86,,2016,Porsche,Panamera,Edition,Sedan,Bumper,Oval,Pillar Only,Open Bottom Trapezoid,,No,Interrior Upper,Yes,Horizontal,2,Other,Both,Middle,Middle,N/A,,Passenger Rear,In Line with Door Handle,Straight,No,Yes,Horizontal
V_87,,2016,Porsche,Panamera,Turbo,Sedan,Bumper,Oval,Pillar Only,Open Bottom Trapezoid,,No,Interrior Upper,Yes,Horizontal,4,Round,Both,Middle,Middle,Middle,,Passenger Rear,In Line with Door Handle,Straight,No,Yes,Horizontal
V_88,,2015,Porsche,Panamera,Not Specified,Sedan,Bumper,Oval,Pillar Only,Open Bottom Trapezoid,,No,Interrior Upper,Yes,Horizontal,2,Other,Both,Middle,Middle,N/A,,Passenger Rear,In Line with Door Handle,Straight,No,Yes,Horizontal
V_89,,2013,Porsche,Panamera,Hybrid S,Sedan,Bumper,Oval,Pillar Only,Trapezoid,,No,Interrior Upper,No,N/A,4,Round,Both,Middle,None,Other,,Passenger Rear,In Line with Door Handle,Straight,Yes,Yes,Horizontal
V_90,,2022,Audi,Q3,S-Line Premium,SUV,Lower Trunk,One Point Inward,overlap,Hat,Bottom inside,No,Interrior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,Passenger Side,Partial Seam,Passenger Rear,Above Door Handle,Curve Down,No,No,Vertical
V_91,,2021,Audi,Q3,S-Line Premium,SUV,Middle Trunk,One Point Inward,overlap,Hat,Bottom inside,No,Interrior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,Passenger Side,Partial Seam,Passenger Rear,Above Door Handle,Curve Down,No,Yes,Vertical
V_92,,2020,Audi,Q3,Premium Plus S-Line,SUV,Middle Trunk,One Point Inward,overlap,Hat,Bottom inside,No,Exterior Lower,Yes,Horizontal,None Visible,,,,,,,,,,,,
V_93,,2023,Audi,Q5,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_94,,2022,Audi,Q5,S-Line Premium,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_95,,2021,Audi,Q5,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Lower,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_96,,2020,Audi,Q5,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Lower,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_97,,2019,Audi,Q5,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_98,,2018,Audi,Q5,Premium ,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_99,,2017,Audi,Q5,Premium,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_100,,2016,Audi,Q5,Premium,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_101,,2015,Audi,Q5,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_102,,2014,Audi,Q5,Premium,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_103,,2013,Audi,Q5,Prestige,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Middle,N/A,,Passenger Rear,,,,Yes,
V_104,,2021,Audi,Q5 Sportback,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_105,,2021,Audi,Q7,Premium,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_106,,2020,Audi,Q7,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
